"学籍番号","学生氏名","科目番号","科目名 ","単位数","春学期","秋学期","総合評価","科目区分","開講年度","開講区分"
"202312345","最後は 人海戦術","2214213","応用体育シューティングスポーツ(秋)"," 0.5","-","-","履修中","C","2024","通常"
"202312345","最後は 人海戦術","CC24041","青年心理学"," 2.0","-","-","履修中","C0","2024","通常"
"202312345","最後は 人海戦術","GA10101","情報社会と法制度"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GA10201","知的財産概論"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GA40603","ビジネスシステムデザイン実践I"," 2.0","-","-","履修中","A","2024","通常"
"202312345","最後は 人海戦術","GC12401","データ構造とアルゴリズム"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GC12403","データ構造とアルゴリズム実習"," 1.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GC21401","統計分析法"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GC22101","Webプログラミング"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GC23201","情報理論"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GC23304","CG基礎"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GC24501","コンテンツ流通基盤概論"," 2.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","GC26101","人間計測の方法"," 1.0","-","-","履修中","B","2024","通常"
"202312345","最後は 人海戦術","2214203","応用体育シューティングスポーツ(春)"," 0.5","-","-","A","C","2024","通常"
"202312345","最後は 人海戦術","GA40503","ビジネスシステムデザイン基礎I"," 2.0","-","-","履修中","A","2024","集中"
"202312345","最後は 人海戦術","GC11601","確率と統計"," 2.0","-","-","D","B","2024","通常"
"202312345","最後は 人海戦術","GC11701","微分積分B"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","GC11801","線形代数B"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","GC12701","プログラミング"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","GC13101","コンピュータシステムとOS"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","GC13201","データ工学概論"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","GC25301","コンピュータネットワーク"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","GC26201","認知科学"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","GC27701","ACPC連携講座: ライブ・コンテンツ論"," 2.0","-","-","A","B","2024","通常"
"202312345","最後は 人海戦術","1226051","筑波大学特別講義―大学と学問―"," 1.0","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","1226091","みんなで創ろう「つくばアクションプロジェクト」"," 1.0","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","2116133","基礎体育ジョグ&ウォーク(秋)"," 0.5","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","31KC092","English Reading Skills II"," 1.0","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","31LC092","English Presentation Skills II"," 1.0","-","-","認","C","2023","通常"
"202312345","最後は 人海戦術","6525102","データサイエンス"," 2.0","-","-","A","C","2023","通常"
"202312345","最後は 人海戦術","GA12301","システムと情報科学"," 1.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA13501","コンテンツ入門"," 2.0","-","-","A","B","2023","通常"
"202312345","最後は 人海戦術","GA14121","知識情報概論"," 1.0","-","-","A","B","2023","通常"
